,trans_date_trans_time,category,amt,city,state,lat,long,city_pop,dob,merch_lat,merch_long,gender
527442,2020-09-12 04:29:58,shopping_net,4.94,Darien,GA,31.3826,-81.4312,5989,1967-05-05,32.260016,-81.794484,F
538511,2020-09-17 18:28:09,shopping_pos,4.38,Mill Creek,PA,40.4679,-77.8967,1334,1986-12-17,39.472619,-78.244576,F
37539,2019-04-14 17:46:09,home,55.26,Centerview,MO,38.7897,-93.8702,2368,1989-07-17,39.199107,-93.423308,
350429,2020-06-25 16:26:23,kids_pets,48.95,Indianapolis,IN,39.849,-86.272,910148,1975-11-30,39.685401,-87.064198,F
561460,2020-09-29 17:18:42,shopping_pos,348.15,Wilmington,NC,34.2651,-77.867,186140,1983-02-08,34.26806,-78.504405,F
226227,2020-05-30 10:14:01,misc_net,3.75,Broomfield,CO,39.8854,-105.1139,92337,1967-10-18,38.936403000000006,-104.907368,
466127,2020-08-14 18:58:20,kids_pets,175.92,Roosevelt,OK,34.847,-98.9836,551,1970-09-27,35.52171,-98.687842,F
172466,2020-01-09 05:47:54,grocery_pos,68.58,Espanola,NM,35.9866,-106.0654,18408,1972-07-18,36.373257,-106.32378,
463601,2020-08-13 09:35:03,grocery_pos,191.16,Indianapolis,IN,39.849,-86.272,910148,1975-11-30,39.861693,-86.722258,F
774773,2020-12-27 07:51:41,grocery_pos,223.07,Roma,TX,26.4215,-99.0025,18128,1990-11-07,26.809669,-99.088561,F
50528,2019-05-16 07:34:43,grocery_net,57.56,Odessa,MO,38.9829,-93.9757,9512,1972-12-31,39.349684,-94.089183,
247887,2020-07-10 20:21:18,entertainment,122.35,Burbank,WA,46.1966,-118.9017,3684,1981-11-29,46.946345,-119.516102,F
296853,2020-10-22 06:55:36,misc_net,7.17,Campbell,NE,40.2967,-98.737,493,1940-09-13,39.640435,-98.621079,F
711336,2020-12-09 09:15:27,misc_net,7.02,Sontag,MS,31.6453,-90.1801,1196,1958-06-11,32.198842,-90.634366,M
398186,2020-07-15 21:55:44,home,90.68,Pittsburgh,PA,40.4308,-79.9205,687276,1973-10-19,41.077114,-79.909944,M
377218,2020-07-06 22:38:06,food_dining,8.02,Wetmore,MI,46.3535,-86.6345,765,1972-06-12,45.541997,-87.455985,F
471855,2020-08-17 07:30:58,gas_transport,52.54,Brunson,SC,32.9413,-81.1807,1725,1974-12-05,32.513292,-80.90414,F
402231,2020-07-18 05:38:37,misc_pos,2.28,Grandview,TX,32.2779,-97.2351,5875,1992-07-24,32.265221000000004,-96.60672,F
500238,2020-08-29 19:19:50,kids_pets,35.66,Hopkins,SC,33.9349,-80.8449,13717,1949-11-16,33.932257,-80.197874,F
373912,2020-07-05 23:05:38,misc_net,84.87,Fulton,OH,40.4971,-82.8342,267,2005-01-29,40.829009,-83.638196,M
536918,2020-09-16 14:13:13,personal_care,18.56,Westport,KY,38.4921,-85.4524,564,1996-04-10,39.271442,-85.21904599999999,M
445597,2020-08-05 03:53:19,gas_transport,58.78,Fulton,SD,43.7588,-97.8712,355,1955-06-26,44.065581,-97.485485,F
683615,2020-12-01 20:00:45,health_fitness,25.16,Cape Coral,FL,26.6939,-81.9452,156391,1968-02-09,27.501787,-81.724192,F
538241,2020-09-17 14:11:33,health_fitness,48.09,Mobile,AL,30.7145,-88.0918,270712,1972-01-05,31.695546000000004,-87.628697,F
707005,2020-12-08 09:00:20,misc_pos,6.79,Grassflat,PA,41.0036,-78.1104,489,1956-09-15,41.91582,-78.239473,F
445178,2020-08-04 22:23:24,personal_care,83.72,Lomax,IL,40.6761,-91.0391,725,1972-11-28,41.076289,-91.15214,F
315244,2020-12-02 07:47:06,grocery_pos,106.06,Athena,OR,45.8289,-118.4971,1302,1976-10-18,45.339163,-118.091318,M
283183,2020-09-19 22:34:29,home,58.91,Kissee Mills,MO,36.6704,-93.0377,1201,1980-03-18,36.368065,-92.679981,M
47531,2019-05-08 21:24:37,misc_net,8.2,San Jose,CA,37.3304,-121.7913,973849,1997-01-18,37.040853000000006,-121.043126,
676875,2020-11-30 14:03:12,health_fitness,45.52,Grantham,NH,43.5103,-72.1334,2971,1948-04-11,43.442377,-72.38508399999999,M
434731,2020-08-01 08:17:47,grocery_pos,193.57,Plainfield,NJ,40.6152,-74.415,71485,1974-07-19,40.075861,-75.37585899999999,F
469311,2020-08-16 10:14:58,gas_transport,59.8,Tryon,OK,35.8759,-96.9623,1165,1944-11-11,35.111905,-97.02969,M
653097,2020-11-17 18:32:32,shopping_pos,1.73,Bridgeport,NJ,39.8016,-75.3478,504,1980-08-17,38.985167,-75.383105,F
378052,2020-07-07 05:53:39,shopping_pos,3.54,Grand Ridge,FL,30.7148,-85.021,3699,1948-09-07,30.115678000000003,-84.765254,F
169138,2019-12-30 16:51:47,home,38.02,Phoenix,AZ,33.5623,-112.0559,1312922,1981-10-24,34.428192,-111.969042,
155363,2019-12-14 17:19:13,home,69.83,Tomales,CA,38.2427,-122.9145,337,1954-07-05,38.675609,-123.827757,
634677,2020-11-08 17:11:12,kids_pets,80.47,West Henrietta,NY,43.0397,-77.6871,10256,1968-06-24,43.779286,-77.025248,F
497939,2020-08-28 14:28:55,misc_net,13.3,San Antonio,TX,29.3641,-98.4924,1595797,1995-10-17,28.440469,-97.921727,M
365689,2020-07-01 22:57:43,entertainment,92.73,Avoca,IA,41.4768,-95.3509,2036,1971-08-20,41.457421,-96.245386,F
477324,2020-08-18 22:44:59,kids_pets,54.17,Whittemore,IA,43.0261,-94.4064,912,1968-05-16,43.573618,-94.323161,M
534569,2020-09-15 09:24:30,misc_net,6.96,Birmingham,IA,40.8626,-91.9534,888,1988-03-25,41.539266,-92.359312,F
465818,2020-08-14 15:47:31,shopping_pos,4.0,Roosevelt,OK,34.847,-98.9836,551,1970-09-27,35.674341,-99.559476,F
452730,2020-08-09 03:13:46,shopping_net,89.93,Graniteville,VT,44.1554,-72.4847,970,1993-09-29,43.702661,-72.122015,M
118791,2019-10-01 14:58:10,travel,2.26,Mesa,ID,44.6255,-116.4493,129,1965-12-15,44.91371,-117.3873,
160160,2019-12-20 13:28:26,shopping_net,1.48,Newhall,CA,34.3795,-118.523,34882,1971-04-25,33.524756,-118.009785,
156417,2019-12-15 16:55:24,personal_care,5.64,Kansas City,MO,38.9621,-94.5959,545147,1987-11-18,38.126574,-95.041553,
516022,2020-09-06 05:03:36,gas_transport,73.65,Dunlevy,PA,40.1151,-79.8627,427,1951-02-05,39.871569,-80.329155,F
754677,2020-12-21 13:21:30,health_fitness,83.38,South Londonderry,VT,43.1699,-72.8515,828,1957-08-30,43.536647,-73.648081,M
131689,2019-11-02 09:57:02,gas_transport,53.9,Odessa,MO,38.9829,-93.9757,9512,1972-12-31,38.971936,-94.490043,
558184,2020-09-28 11:32:53,gas_transport,76.44,Elberta,MI,44.5995,-86.2141,372,1995-07-12,44.653884000000005,-87.207002,F
151485,2019-12-09 11:42:58,gas_transport,43.08,Thompson,UT,38.9999,-109.615,46,1987-04-23,38.08431,-110.502261,
317870,2020-12-06 06:43:44,grocery_pos,108.3,Centerview,MO,38.7897,-93.8702,2368,1989-07-17,38.618354,-94.302207,F
151810,2019-12-09 17:41:01,shopping_net,3.35,Issaquah,WA,47.4974,-122.0107,50489,1984-02-29,48.199976,-121.900437,
452757,2020-08-09 03:29:56,grocery_net,21.11,Topeka,KS,39.1329,-95.7023,163415,2004-12-30,38.865115,-94.926154,F
639007,2020-11-10 08:29:02,grocery_pos,34.19,Matawan,NJ,40.4109,-74.238,30770,1993-04-29,41.353288,-73.369776,M
495631,2020-08-27 06:52:23,shopping_pos,5.21,Purmela,TX,31.4841,-97.9903,258,1943-12-15,31.861322,-98.592427,M
495705,2020-08-27 07:59:04,shopping_pos,128.5,Zaleski,OH,39.283,-82.3977,341,1978-12-18,38.833214,-82.766812,M
639413,2020-11-10 12:58:32,travel,4.59,Birmingham,AL,33.4629,-86.7904,493806,1980-07-12,32.824009999999994,-86.518478,M
102529,2019-08-25 22:32:02,food_dining,7.75,Thompson,UT,38.9999,-109.615,46,1987-04-23,39.573742,-110.235811,
619993,2020-10-31 20:25:23,home,86.39,Cassatt,SC,34.3424,-80.5,4424,1961-07-31,33.63623,-79.645257,F
108859,2019-09-08 13:22:25,travel,8.54,Campbell,NE,40.2967,-98.737,493,1940-09-13,40.222814,-98.823776,
79444,2019-07-12 22:04:16,personal_care,23.8,Iliff,CO,40.7692,-103.0968,648,1969-09-21,39.859951,-104.086163,
295707,2020-10-19 16:35:29,health_fitness,27.47,Burbank,WA,46.1966,-118.9017,3684,1981-11-29,46.291468,-118.296214,F
723391,2020-12-13 10:29:48,gas_transport,49.31,Bradley,SC,34.0326,-82.2027,1523,1984-06-03,34.96698,-81.613804,F
342949,2020-06-22 14:11:59,misc_pos,1.49,Lonsdale,MN,44.4477,-93.4252,5211,1987-01-27,44.821075,-92.684341,M
589397,2020-10-14 19:20:01,personal_care,141.1,Milner,GA,33.141,-84.1759,4138,1969-05-16,33.986433,-84.715215,M
575090,2020-10-06 21:40:48,home,59.6,Lima,OH,40.7641,-84.0973,86954,1992-07-23,40.732311,-83.475727,M
