,trans_date_trans_time,category,amt,city,state,lat,long,city_pop,dob,merch_lat,merch_long,gender
264421,2020-08-10 20:51:43,home,89.89,Issaquah,WA,47.4974,-122.0107,50489,1984-02-29,48.036797,-121.21344,F
142181,2019-11-27 03:24:33,gas_transport,94.68,Redford,MO,37.3272,-91.0243,241,1974-10-27,36.598969,-90.665853,
85904,2019-07-25 13:00:43,travel,6.58,Thompson,UT,38.9999,-109.615,46,1987-04-23,39.782704,-109.798283,
283240,2020-09-20 02:26:52,grocery_pos,183.11,Meridian,ID,43.6498,-116.4306,84106,1971-02-11,43.572589,-117.14566,F
328015,2020-12-18 04:48:00,grocery_pos,103.79,Fiddletown,CA,38.5234,-120.6763,832,1987-05-19,39.110742,-120.716384,M
237213,2020-06-20 10:24:02,misc_net,3.41,Conway,WA,48.34,-122.3456,85,1984-09-01,48.701374,-123.077694,
203926,2020-04-07 04:04:10,misc_pos,37.75,Meadville,MO,39.7795,-93.3014,964,1974-12-23,39.669365,-92.328768,
174309,2020-01-14 21:54:44,home,10.79,Tekoa,WA,47.2271,-117.0819,895,1999-05-31,47.695968,-117.919699,
257048,2020-07-27 20:49:49,shopping_pos,6.21,Rocky Mount,MO,38.2911,-92.7059,1847,1988-10-26,38.006107,-92.681723,F
149664,2019-12-07 20:07:51,kids_pets,28.79,Riverton,WY,43.0351,-108.2024,19408,1993-09-11,42.409833,-108.26191,
69233,2019-06-22 22:31:52,health_fitness,23.85,Blairstown,MO,38.5319,-93.9221,467,1950-05-27,38.353527,-94.770439,
167202,2019-12-28 22:59:50,personal_care,84.45,Holstein,NE,40.4542,-98.6538,331,1950-08-19,41.117342,-98.762973,
118641,2019-09-30 23:36:17,home,92.0,Fort Washakie,WY,43.0048,-108.8964,1645,1976-02-26,42.869447,-108.805683,
142815,2019-11-29 00:32:16,grocery_net,82.56,Red River,NM,36.6659,-105.4694,606,1988-09-06,37.537729,-105.908984,
5869,2019-01-20 01:43:59,shopping_net,95.78,Dumont,CO,39.7532,-105.6356,565,1978-08-27,39.66095,-105.488753,
108042,2019-09-06 22:41:33,shopping_pos,2.97,Manville,WY,42.73,-104.7024,241,1980-12-16,43.547352,-105.022229,
78446,2019-07-10 17:15:01,health_fitness,17.89,Eugene,OR,44.0385,-123.0614,191096,1964-04-06,43.775319,-123.503524,
269828,2020-08-21 16:12:52,home,157.69,Greenview,CA,41.5403,-122.9366,308,1958-09-20,41.668213,-123.721074,M
125213,2019-10-17 18:54:31,health_fitness,163.29,June Lake,CA,37.7773,-119.0825,633,1927-09-09,38.729161,-119.766485,
184342,2020-02-16 12:34:35,health_fitness,1.9,Aurora,CO,39.6662,-104.835,389246,1969-12-12,39.16733,-105.549371,
226534,2020-05-31 00:37:51,grocery_pos,107.84,Corona,CA,33.8419,-117.6043,233717,1966-05-22,33.03157,-117.872216,
162933,2019-12-23 08:28:29,grocery_net,36.24,Issaquah,WA,47.4974,-122.0107,50489,1984-02-29,47.263886,-121.593381,
255228,2020-07-24 16:02:36,home,9.5,Blairstown,MO,38.5319,-93.9221,467,1950-05-27,37.539918,-94.779346,F
259831,2020-08-02 17:50:19,entertainment,67.62,Mendon,UT,41.71,-111.9817,2078,1963-06-13,41.659852,-112.363133,F
228246,2020-06-02 14:56:34,entertainment,43.33,Rocky Mount,MO,38.2911,-92.7059,1847,1988-10-26,38.571927,-92.21546,
100639,2019-08-22 17:55:05,personal_care,136.77,San Jose,CA,37.3304,-121.7913,973849,1997-01-18,36.42982,-121.634612,
95948,2019-08-13 02:10:40,misc_net,22.39,Vinton,CA,40.0235,-120.7986,128,1966-02-21,39.51338,-120.648782,
95279,2019-08-12 02:22:34,gas_transport,52.48,Norwalk,CA,33.9056,-118.0818,105549,1973-09-22,33.769938,-117.634788,
15144,2019-02-18 05:43:54,shopping_pos,7.26,Carlotta,CA,40.507,-123.9743,1139,1951-01-15,40.952496,-123.08147,
71508,2019-06-27 03:22:18,gas_transport,103.03,Lowell,OR,43.92100000000001,-122.7806,1420,1965-11-11,43.487592,-123.131556,
61140,2019-06-07 11:54:37,shopping_net,722.08,Carlotta,CA,40.507,-123.9743,1139,1951-01-15,41.359175,-123.848691,
136594,2019-11-14 00:46:12,misc_net,56.76,Camden,MO,39.2048,-94.0259,464,1959-05-28,39.505729,-93.41579,
318922,2020-12-07 06:50:35,gas_transport,88.33,Laramie,WY,41.4247,-105.4781,35371,1988-09-02,41.644805,-104.650944,F
54910,2019-05-26 09:33:34,grocery_net,75.95,Issaquah,WA,47.4974,-122.0107,50489,1984-02-29,47.072304,-122.076353,
195544,2020-03-17 18:13:06,entertainment,103.13,Lake Oswego,OR,45.4093,-122.6847,42817,1982-05-28,44.847903,-123.14073799999998,
309001,2020-11-20 21:09:43,kids_pets,223.19,Littleton,CO,39.5994,-105.0044,320420,1975-07-31,38.636107,-105.025146,F
49904,2019-05-14 04:53:46,misc_pos,232.31,Phoenix,AZ,33.5623,-112.0559,1312922,1981-10-24,33.016445000000004,-112.068608,
264141,2020-08-10 13:10:06,misc_pos,100.78,Moriarty,NM,34.9889,-106.0609,7268,1988-08-04,34.866232000000004,-105.85215,M
302942,2020-11-06 10:42:32,grocery_pos,220.23,Daly City,CA,37.6787,-122.478,107941,1991-10-04,37.35612,-121.478178,F
267078,2020-08-16 09:51:38,gas_transport,75.58,Carlotta,CA,40.507,-123.9743,1139,1951-01-15,40.299773,-123.31144,
272200,2020-08-25 18:38:34,kids_pets,23.98,Phoenix,AZ,33.5623,-112.0559,1312922,1981-10-24,32.628713,-112.239296,F
301736,2020-11-03 04:18:08,gas_transport,57.08,Moriarty,NM,34.9889,-106.0609,7268,1988-08-04,34.39647,-106.484025,M
105857,2019-09-01 13:56:02,kids_pets,71.38,Valentine,NE,42.8062,-100.6215,4005,1945-03-15,42.738148,-100.058252,
124903,2019-10-16 21:01:24,shopping_net,251.7,Napa,CA,38.4549,-122.2564,94014,1985-08-21,37.581646,-121.868614,
193981,2020-03-15 01:53:16,gas_transport,16.44,Ashford,WA,46.7531,-121.9898,759,1956-09-14,47.700756,-121.984416,
259501,2020-08-02 03:38:05,misc_pos,145.49,Superior,AZ,33.2887,-111.0985,2872,1987-10-28,33.186965,-110.32698899999998,F
249751,2020-07-13 23:29:40,home,14.28,Carlotta,CA,40.507,-123.9743,1139,1951-01-15,39.592576,-123.419979,F
111447,2019-09-14 21:44:51,entertainment,15.0,Port Costa,CA,38.046,-122.1866,198,1959-03-31,37.793267,-122.488625,
228557,2020-06-02 23:35:03,health_fitness,15.22,Orient,WA,48.8878,-118.2105,149,1978-06-21,48.676216,-118.660921,
299122,2020-10-27 14:49:17,personal_care,1.24,Manley,NE,40.9207,-96.168,206,1967-10-04,41.784141,-96.440897,M
265266,2020-08-11 23:28:16,shopping_net,64.31,Superior,AZ,33.2887,-111.0985,2872,1987-10-28,33.81281,-111.967145,F
117085,2019-09-28 04:57:24,shopping_pos,94.62,Port Costa,CA,38.046,-122.1866,198,1959-03-31,38.997521,-122.713834,
44539,2019-05-01 14:55:27,shopping_net,166.3,Lagrange,WY,41.6423,-104.1974,635,1973-07-13,42.359723,-103.640944,
228883,2020-06-03 22:32:39,travel,5.7,Roseland,NE,40.4591,-98.5551,463,1948-05-31,39.779298,-97.936619,
26275,2019-03-18 12:58:41,kids_pets,60.76,Red River,NM,36.6659,-105.4694,606,1988-09-06,36.935857,-105.959206,
318449,2020-12-06 19:56:05,health_fitness,50.42,Mesa,ID,44.6255,-116.4493,129,1965-12-15,44.55007,-116.855827,M
107721,2019-09-06 01:19:10,gas_transport,83.43,Pueblo,CO,38.2352,-104.66,151815,1988-01-04,37.277704,-103.801129,
248734,2020-07-12 14:36:50,health_fitness,9.66,Westerville,NE,41.4193,-99.3844,73,1935-02-10,42.236270000000005,-100.168517,F
60309,2019-06-05 13:36:03,travel,437.71,Lonetree,WY,41.0552,-110.1603,49,1981-07-05,40.154647,-110.924564,
105498,2019-08-31 23:52:02,shopping_pos,150.58,Dumont,CO,39.7532,-105.6356,565,1978-08-27,40.418986,-105.973138,
78158,2019-07-09 21:28:10,entertainment,40.04,Tomales,CA,38.2427,-122.9145,337,1954-07-05,39.174884000000006,-123.154828,
113820,2019-09-20 10:08:57,grocery_pos,96.51,Red River,NM,36.6659,-105.4694,606,1988-09-06,35.679621000000004,-104.653408,
304096,2020-11-09 04:47:29,misc_net,2.58,Meridian,ID,43.6498,-116.4306,84106,1971-02-11,44.466883,-116.150817,F
38272,2019-04-15 22:36:50,kids_pets,6.42,Cascade Locks,OR,45.67100000000001,-121.8686,1288,1936-05-01,44.889484,-121.83297,
316501,2020-12-04 10:36:55,gas_transport,74.11,High Rolls Mountain Park,NM,32.9396,-105.8189,899,1967-08-30,31.983039,-105.671943,M
163831,2019-12-24 05:17:19,misc_net,20.08,Woods Cross,UT,40.8874,-111.9027,13983,1979-08-14,41.688885,-112.735788,
80062,2019-07-13 23:10:02,shopping_net,357.47,Burbank,WA,46.1966,-118.9017,3684,1981-11-29,45.989688,-119.786177,
45489,2019-05-04 10:29:01,grocery_pos,109.58,Smith River,CA,41.9404,-124.1587,1930,1983-06-13,42.132443,-123.874449,
268413,2020-08-18 12:33:17,kids_pets,65.02,Meredith,CO,39.3199,-106.6596,61,1939-11-04,39.286208,-106.787089,F
270321,2020-08-22 20:24:30,shopping_pos,24.51,Moriarty,NM,34.9889,-106.0609,7268,1988-08-04,35.085159999999995,-106.753359,M
38890,2019-04-17 23:23:54,entertainment,45.8,Powell Butte,OR,44.2415,-121.0113,2016,1953-12-25,44.676874,-121.586802,
131454,2019-11-01 19:13:54,kids_pets,196.86,Mesa,ID,44.6255,-116.4493,129,1965-12-15,45.304366,-116.39328799999998,
172267,2020-01-08 10:34:25,misc_net,9.43,Sixes,OR,42.825,-124.4409,217,1928-10-01,42.105205,-123.525056,
312105,2020-11-28 16:18:58,home,74.99,Brashear,MO,40.1959,-92.4333,805,1970-06-27,40.88192,-93.223626,M
12544,2019-02-10 10:30:13,grocery_net,26.27,Newberg,OR,45.3099,-122.9685,28278,1977-07-17,44.38869,-123.014699,
270812,2020-08-23 17:46:46,entertainment,68.48,Phoenix,AZ,33.8155,-112.1202,1312922,1999-11-30,34.537857,-112.868922,F
257899,2020-07-29 00:35:56,gas_transport,31.2,Burbank,WA,46.1966,-118.9017,3684,1981-11-29,45.345064,-118.763344,F
186451,2020-02-23 07:06:28,food_dining,196.6,Corona,CA,33.8419,-117.6043,233717,1966-05-22,33.347096,-117.003172,
82977,2019-07-19 23:08:16,health_fitness,75.48,Red River,NM,36.6659,-105.4694,606,1988-09-06,36.278651,-105.34207,
146586,2019-12-03 10:23:09,grocery_pos,115.22,Vinton,CA,40.0235,-120.7986,128,1966-02-21,40.344793,-120.571035,
144240,2019-12-01 03:37:44,shopping_pos,41.2,Carlotta,CA,40.507,-123.9743,1139,1951-01-15,40.36185,-124.001032,
282773,2020-09-18 20:00:42,home,39.34,Conway,WA,48.34,-122.3456,85,1984-09-01,47.812584,-122.785936,F
278477,2020-09-08 04:36:55,gas_transport,56.89,Grenada,CA,41.6125,-122.5258,589,1945-12-21,42.0438,-121.660707,M
85080,2019-07-23 08:22:20,misc_net,4.09,June Lake,CA,37.7773,-119.0825,633,1927-09-09,37.077617,-119.551633,
317437,2020-12-05 18:49:50,shopping_pos,87.2,Mountain Center,CA,33.6401,-116.5567,1661,1988-09-19,33.482283,-116.815936,F
266015,2020-08-13 22:14:32,misc_net,40.62,Altonah,UT,40.3207,-110.436,302,1990-01-17,41.204182,-110.065845,F
